REGION,FUEL,YEAR,VALUE
GLOBAL,ELCITAXX02,2040,2106.03
GLOBAL,ELCLUXXX02,2040,45.0
GLOBAL,ELCNLDXX02,2040,885.64
GLOBAL,ELCPRTXX02,2040,327.52
GLOBAL,ELCAUTXX02,2041,343.37
GLOBAL,ELCBELXX02,2041,666.3
GLOBAL,ELCCHEXX02,2041,393.32
GLOBAL,ELCDEUXX02,2041,3348.98
GLOBAL,ELCESPXX02,2041,2117.18
GLOBAL,ELCFRAXX02,2041,3448.54
GLOBAL,ELCITAXX02,2041,2125.93
GLOBAL,ELCLUXXX02,2041,45.65
GLOBAL,ELCNLDXX02,2041,894.11
GLOBAL,ELCPRTXX02,2041,332.13
GLOBAL,ELCAUTXX02,2042,347.7
GLOBAL,ELCBELXX02,2042,671.4
GLOBAL,ELCCHEXX02,2042,398.42
GLOBAL,ELCDEUXX02,2042,3375.1
GLOBAL,ELCESPXX02,2042,2136.47
GLOBAL,ELCFRAXX02,2042,3482.92
GLOBAL,ELCITAXX02,2042,2145.83
GLOBAL,ELCLUXXX02,2042,46.29
GLOBAL,ELCNLDXX02,2042,902.57
GLOBAL,ELCPRTXX02,2042,336.73
GLOBAL,ELCAUTXX02,2043,352.03
GLOBAL,ELCBELXX02,2043,676.5
GLOBAL,ELCCHEXX02,2043,403.51
GLOBAL,ELCDEUXX02,2043,3401.23
GLOBAL,ELCESPXX02,2043,2155.75
GLOBAL,ELCFRAXX02,2043,3517.3
GLOBAL,ELCITAXX02,2043,2165.73
GLOBAL,ELCLUXXX02,2043,46.94
GLOBAL,ELCNLDXX02,2043,911.03
GLOBAL,ELCPRTXX02,2043,341.33
GLOBAL,ELCAUTXX02,2044,356.36
GLOBAL,ELCBELXX02,2044,681.61
GLOBAL,ELCCHEXX02,2044,408.6
GLOBAL,ELCDEUXX02,2044,3427.35
GLOBAL,ELCESPXX02,2044,2175.04
GLOBAL,ELCFRAXX02,2044,3551.68
GLOBAL,ELCITAXX02,2044,2185.63
GLOBAL,ELCLUXXX02,2044,47.58
GLOBAL,ELCNLDXX02,2044,919.49
GLOBAL,ELCPRTXX02,2044,345.93
GLOBAL,ELCAUTXX02,2045,360.69
GLOBAL,ELCBELXX02,2045,686.71
GLOBAL,ELCCHEXX02,2045,413.7
GLOBAL,ELCDEUXX02,2045,3453.48
GLOBAL,ELCESPXX02,2045,2194.33
GLOBAL,ELCFRAXX02,2045,3586.05
GLOBAL,ELCITAXX02,2045,2205.52
GLOBAL,ELCLUXXX02,2045,48.23
GLOBAL,ELCNLDXX02,2045,927.96
GLOBAL,ELCPRTXX02,2045,350.54
GLOBAL,ELCAUTXX02,2046,364.79
GLOBAL,ELCBELXX02,2046,691.66
GLOBAL,ELCCHEXX02,2046,418.8
GLOBAL,ELCDEUXX02,2046,3476.85
GLOBAL,ELCESPXX02,2046,2212.56
GLOBAL,ELCFRAXX02,2046,3619.16
GLOBAL,ELCITAXX02,2046,2224.26
GLOBAL,ELCLUXXX02,2046,48.85
GLOBAL,ELCNLDXX02,2046,936.31
GLOBAL,ELCPRTXX02,2046,355.01
GLOBAL,ELCAUTXX02,2047,368.9
GLOBAL,ELCBELXX02,2047,696.62
GLOBAL,ELCCHEXX02,2047,423.9
GLOBAL,ELCDEUXX02,2047,3500.22
GLOBAL,ELCESPXX02,2047,2230.79
GLOBAL,ELCFRAXX02,2047,3652.26
GLOBAL,ELCITAXX02,2047,2242.99
GLOBAL,ELCLUXXX02,2047,49.48
GLOBAL,ELCNLDXX02,2047,944.67
GLOBAL,ELCPRTXX02,2047,359.49
GLOBAL,ELCAUTXX02,2048,373.01
GLOBAL,ELCBELXX02,2048,701.57
GLOBAL,ELCCHEXX02,2048,429.0
GLOBAL,ELCDEUXX02,2048,3523.59
GLOBAL,ELCESPXX02,2048,2249.02
GLOBAL,ELCFRAXX02,2048,3685.36
GLOBAL,ELCITAXX02,2048,2261.72
GLOBAL,ELCLUXXX02,2048,50.1
GLOBAL,ELCNLDXX02,2048,953.02
GLOBAL,ELCPRTXX02,2048,363.96
GLOBAL,ELCAUTXX02,2049,377.12
GLOBAL,ELCBELXX02,2049,706.52
GLOBAL,ELCCHEXX02,2049,434.1
GLOBAL,ELCDEUXX02,2049,3546.95
GLOBAL,ELCESPXX02,2049,2267.25
GLOBAL,ELCFRAXX02,2049,3718.46
GLOBAL,ELCITAXX02,2049,2280.45
GLOBAL,ELCLUXXX02,2049,50.73
GLOBAL,ELCNLDXX02,2049,961.38
GLOBAL,ELCPRTXX02,2049,368.43
GLOBAL,ELCAUTXX02,2050,381.23
GLOBAL,ELCBELXX02,2050,711.47
GLOBAL,ELCCHEXX02,2050,439.2
GLOBAL,ELCDEUXX02,2050,3570.32
GLOBAL,ELCESPXX02,2050,2285.48
GLOBAL,ELCFRAXX02,2050,3751.56
GLOBAL,ELCITAXX02,2050,2299.18
GLOBAL,ELCLUXXX02,2050,51.35
GLOBAL,ELCNLDXX02,2050,969.73
GLOBAL,ELCPRTXX02,2050,372.91
